iter	Passed	Remaining
963	50180	1873
964	50230	1821
965	50280	1769
966	50332	1717
967	50384	1665
968	50434	1613
969	50485	1561
970	50535	1509
971	50585	1457
972	50636	1405
973	50687	1353
974	50737	1300
975	50786	1248
976	50836	1196
977	50886	1144
978	50936	1092
979	50986	1040
980	51036	988
981	51085	936
982	51135	884
983	51186	832
984	51235	780
985	51285	728
986	51334	676
987	51385	624
988	51439	572
989	51489	520
990	51538	468
991	51588	416
992	51638	364
993	51688	312
994	51738	259
995	51790	207
996	51840	155
997	51891	103
998	51940	51
999	51990	0
